category_id,category_name,persona,segment,stars,review,sentiment,score_positif,score_negatif,score_neutre,vrai_sentiment,mots_cles
5,Vêtements décontractés,"Lucas, 30",M / 26-35,5,J'ai récemment acheté un t-shirt de cette collection et je dois dire que je suis impressionné par la qualité du tissu ! Il est super confortable et parfait pour mes journées au bureau ou mes sorties décontractées. Je le recommande vivement à tous ceux qui aiment allier style et confort.,positive,1.0,0.0,0.0,positive,"['journées', 't-shirt', 'collection', 'qualité', 'tissu', 'bureau', 'sorties', 'style', 'confort']"
5,Vêtements décontractés,"Lucas, 30",M / 26-35,3,"Le sweat que j'ai commandé est sympa, mais je m'attendais à un peu plus de qualité pour le prix. Le design est moderne et ça me plaît, mais j'ai l'impression qu'il pourrait se déformer après quelques lavages. Parfait pour le casual, mais pas le meilleur rapport qualité-prix.",mixed,0.4,0.59,0.0,mixed,"['meilleur rapport qualité-prix', 'sweat', 'peu', 'design', 'impression', 'lavages', 'Parfait', 'casual']"
5,Vêtements décontractés,"Lucas, 30",M / 26-35,1,"Je suis vraiment déçu par ma commande. Le pantalon que j'ai reçu ne correspond pas du tout à la description, il est mal taillé et le tissu ne semble pas durable. J'attendais mieux de cette marque, surtout à ce prix.",mixed,0.32,0.68,0.0,negative,"['commande', 'pantalon', 'description', 'tissu', 'marque', 'prix']"
1,Électronique de luxe,"Lucas, 30",M / 26-35,5,J'ai récemment acheté un smartphone de luxe et je suis absolument ravi ! La qualité de l'appareil photo et la fluidité d'utilisation sont exceptionnelles. C'est un vrai plaisir de l'utiliser au quotidien et je le recommande à tous les passionnés de technologie comme moi.,positive,0.76,0.0,0.24,positive,"['appareil photo', 'vrai plaisir', 'passionnés', 'smartphone', 'luxe', 'qualité', 'fluidité', 'utilisation', 'quotidien', 'technologie']"
1,Électronique de luxe,"Lucas, 30",M / 26-35,3,"Le dernier modèle d'écouteurs que j'ai essayé est bon, mais pas aussi révolutionnaire que je l'espérais. La qualité sonore est correcte, mais il manque un peu de profondeur. Pour le prix, je m'attendais à quelque chose de plus impressionnant.",negative,0.17,0.82,0.01,mixed,"['dernier modèle', 'qualité sonore', 'écouteurs', 'profondeur', 'prix']"
1,Électronique de luxe,"Lucas, 30",M / 26-35,1,"J'ai été très déçu par ma récente expérience d'achat. Le produit est arrivé défectueux et le service client a été très lent à répondre. Je ne m'attendais pas à cela pour un article de luxe, je ne recommanderai pas cette boutique.",negative,0.0,1.0,0.0,negative,"['récente expérience', 'service client', 'achat', 'produit', 'article', 'luxe', 'boutique']"
8,Chaussures tendance,"Lucas, 30",M / 26-35,5,"Ces chaussures sont tout simplement incroyables ! Le confort est au rendez-vous et le design est ultra tendance. Je reçois des compliments à chaque fois que je les porte, parfait pour mes journées au bureau et mes sorties le soir.",positive,0.96,0.0,0.04,positive,"['journées', 'chaussures', 'confort', 'rendez-vous', 'design', 'compliments', 'bureau', 'sorties']"
8,Chaussures tendance,"Lucas, 30",M / 26-35,3,"Les chaussures sont stylées, mais je m'attendais à un peu plus de confort pour le prix. Elles sont belles, mais je trouve qu'elles manquent de soutien pour de longues journées debout. Peut-être que je m'attendais à trop.",mixed,0.34,0.59,0.08,mixed,"['longues journées', 'chaussures', 'confort', 'prix', 'soutien']"
8,Chaussures tendance,"Lucas, 30",M / 26-35,1,"Je suis vraiment déçu par ces chaussures. La qualité n'est pas à la hauteur du prix, et elles me font mal aux pieds après seulement quelques heures. Je ne les recommande pas du tout, surtout pour le prix que j'ai payé.",negative,0.0,1.0,0.0,negative,"['chaussures', 'qualité', 'hauteur', 'prix', 'pieds', 'quelques', 'heures']"
11,Articles de maison,"Lucas, 30",M / 26-35,5,"J'ai récemment acheté des articles de maison de cette marque et je suis absolument ravi ! Le design est moderne et élégant, parfait pour mon appartement. La qualité est au rendez-vous et mes amis ne cessent de me complimenter sur ma décoration.",positive,1.0,0.0,0.0,positive,"['décoration', 'articles', 'maison', 'marque', 'design', 'appartement', 'qualité', 'rendez-vous', 'amis']"
11,Articles de maison,"Lucas, 30",M / 26-35,3,"Les articles sont jolis, mais je m'attendais à un peu plus de fonctionnalité. Le style est là, mais certains produits manquent d'innovation. C'est un bon choix pour ceux qui veulent un look tendance, mais je cherche quelque chose de plus pratique.",mixed,0.65,0.34,0.01,mixed,"['bon choix', 'look tendance', 'articles', 'peu', 'fonctionnalité', 'style', 'produits', 'innovation', 'pratique']"
